Nutrient Name,Value,Unit
Protein,21.2,G
Total lipid (fat),6.12,G
"Carbohydrate, by difference",7.46,G
Energy,177.0,KCAL
"Alcohol, ethyl",0.0,G
Water,62.7,G
Caffeine,0.0,MG
Theobromine,0.0,MG
"Sugars, total including NLEA",0.0,G
"Fiber, total dietary",0.0,G
"Calcium, Ca",39.0,MG
"Iron, Fe",3.97,MG
"Magnesium, Mg",60.0,MG
"Phosphorus, P",236.0,MG
"Potassium, K",310.0,MG
"Sodium, Na",574.0,MG
"Zinc, Zn",1.02,MG
"Copper, Cu",0.243,MG
"Selenium, Se",55.6,UG
Retinol,2.0,UG
"Vitamin A, RAE",2.0,UG
"Carotene, beta",0.0,UG
"Carotene, alpha",0.0,UG
Vitamin E (alpha-tocopherol),5.8,MG
Vitamin D (D2 + D3),0.0,UG
"Cryptoxanthin, beta",0.0,UG
Lycopene,0.0,UG
Lutein + zeaxanthin,0.0,UG
"Vitamin C, total ascorbic acid",2.0,MG
Thiamin,0.201,MG
Riboflavin,0.118,MG
Niacin,1.77,MG
Vitamin B-6,0.168,MG
"Folate, total",5.0,UG
Vitamin B-12,0.77,UG
"Choline, total",80.7,MG
Vitamin K (phylloquinone),34.2,UG
Folic acid,0.0,UG
"Folate, food",5.0,UG
"Folate, DFE",5.0,UG
"Vitamin E, added",0.0,MG
"Vitamin B-12, added",0.0,UG
Cholesterol,106.0,MG
"Fatty acids, total saturated",0.892,G
SFA 4:0,0.0,G
SFA 6:0,0.0,G
SFA 8:0,0.0,G
SFA 10:0,0.0,G
SFA 12:0,0.0,G
SFA 14:0,0.031,G
SFA 16:0,0.639,G
SFA 18:0,0.177,G
MUFA 18:1,2.14,G
PUFA 18:2,1.85,G
PUFA 18:3,0.243,G
PUFA 20:4,0.0,G
PUFA 22:6 n-3 (DHA),0.0,G
MUFA 16:1,0.043,G
PUFA 18:4,0.007,G
MUFA 20:1,0.036,G
PUFA 20:5 n-3 (EPA),0.061,G
MUFA 22:1,0.0,G
PUFA 22:5 n-3 (DPA),0.051,G
"Fatty acids, total monounsaturated",2.22,G
"Fatty acids, total polyunsaturated",2.21,G
"Vitamin A, IU",100.0,IU
Energy,290.0,kJ
"Carbohydrate, by difference",17.6,G
Energy,69.0,KCAL
Retinol,0.0,UG
"Vitamin A, RAE",5.0,UG
"Fatty acids, total trans",0.0,G
"Calcium, Ca",8.0,MG
"Potassium, K",304.0,MG
"Zinc, Zn",0.31,MG
Sucrose,0.05,G
Glucose,4.5,G
Maltose,0.2,G
Water,79.9,G
Total lipid (fat),0.1,G
Protein,1.5,G
Ash,0.9,G
Fructose,3.8,G
"Fatty acids, total saturated",0.014,G
"Carotene, beta",60.0,UG
"Carotene, alpha",0.0,UG
"Vitamin C, total ascorbic acid",54.1,MG
"Fiber, total dietary",5.3,G
"Iron, Fe",1.61,MG
"Magnesium, Mg",24.0,MG
"Phosphorus, P",47.0,MG
"Sodium, Na",20.0,MG
"Copper, Cu",0.057,MG
"Manganese, Mn",0.182,MG
"Sugars, total including NLEA",8.55,G
Lactose,0.0,G
Galactose,0.0,G
Energy,96.0,kJ
Folic acid,0.0,UG
SFA 4:0,0.0,G
SFA 6:0,0.0,G
SFA 10:0,0.0,G
SFA 16:0,0.048,G
SFA 18:0,0.016,G
MUFA 18:1,0.081,G
PUFA 18:2,0.046,G
PUFA 18:3,0.044,G
PUFA 20:4,0.0,G
PUFA 18:4,0.0,G
MUFA 20:1,0.0,G
MUFA 22:1,0.0,G
"Fatty acids, total monounsaturated",0.082,G
"Fatty acids, total saturated",0.068,G
SFA 8:0,0.0,G
SFA 12:0,0.0,G
SFA 14:0,0.002,G
PUFA 22:6 n-3 (DHA),0.0,G
MUFA 16:1,0.001,G
PUFA 20:5 n-3 (EPA),0.0,G
PUFA 22:5 n-3 (DPA),0.0,G
"Vitamin A, RAE",25.0,UG
"Carotene, beta",305.0,UG
"Carotene, alpha",0.0,UG
"Cryptoxanthin, beta",0.0,UG
Lycopene,0.0,UG
Vitamin K (phylloquinone),1.4,UG
"Folate, food",14.0,UG
Vitamin E (alpha-tocopherol),0.18,MG
Lutein + zeaxanthin,17.0,UG
"Folate, DFE",14.0,UG
Caffeine,0.0,MG
Theobromine,0.0,MG
"Sugars, total including NLEA",4.5,G
"Zinc, Zn",0.1,MG
"Fatty acids, total polyunsaturated",0.09,G
"Folate, total",14.0,UG
"Copper, Cu",0.086,MG
"Alcohol, ethyl",0.0,G
Energy,23.0,KCAL
Retinol,0.0,UG
"Fatty acids, total trans",0.0,G
Protein,0.4,G
Ash,0.2,G
"Fiber, total dietary",0.3,G
"Iron, Fe",0.5,MG
"Magnesium, Mg",12.0,MG
"Phosphorus, P",9.0,MG
"Sodium, Na",3.0,MG
"Vitamin A, IU",509.0,IU
Vitamin B-12,0.0,UG
"Vitamin C, total ascorbic acid",1600.0,MG
Thiamin,0.02,MG
Riboflavin,0.06,MG
Cholesterol,0.0,MG
Total lipid (fat),0.3,G
"Carbohydrate, by difference",4.8,G
Water,94.3,G
"Calcium, Ca",10.0,MG
"Potassium, K",97.0,MG
Niacin,0.4,MG
Pantothenic acid,0.205,MG
Vitamin B-6,0.004,MG
"Vitamin E, added",0.0,MG
"Vitamin B-12, added",0.0,UG
"Selenium, Se",0.1,UG
Energy,134.0,kJ
Folic acid,0.0,UG
"Folate, DFE",14.0,UG
"Fatty acids, total saturated",0.068,G
SFA 8:0,0.0,G
SFA 12:0,0.0,G
SFA 14:0,0.002,G
PUFA 22:6 n-3 (DHA),0.0,G
MUFA 16:1,0.001,G
PUFA 20:5 n-3 (EPA),0.0,G
PUFA 22:5 n-3 (DPA),0.0,G
SFA 4:0,0.0,G
SFA 6:0,0.0,G
SFA 10:0,0.0,G
SFA 16:0,0.048,G
SFA 18:0,0.016,G
MUFA 18:1,0.081,G
PUFA 18:2,0.046,G
PUFA 18:3,0.044,G
PUFA 20:4,0.0,G
PUFA 18:4,0.0,G
MUFA 20:1,0.0,G
MUFA 22:1,0.0,G
"Fatty acids, total monounsaturated",0.082,G
"Alcohol, ethyl",0.0,G
"Copper, Cu",0.086,MG
"Folate, total",14.0,UG
"Folate, food",14.0,UG
"Zinc, Zn",0.1,MG
"Fatty acids, total polyunsaturated",0.09,G
Retinol,0.0,UG
"Vitamin A, RAE",38.0,UG
"Fatty acids, total trans",0.0,G
Total lipid (fat),0.3,G
"Carbohydrate, by difference",7.69,G
Energy,32.0,KCAL
Water,91.4,G
"Calcium, Ca",12.0,MG
"Potassium, K",146.0,MG
Niacin,0.4,MG
Pantothenic acid,0.309,MG
Vitamin B-6,0.009,MG
Protein,0.4,G
Ash,0.2,G
"Vitamin A, IU",767.0,IU
"Fiber, total dietary",1.1,G
"Iron, Fe",0.2,MG
"Magnesium, Mg",18.0,MG
"Phosphorus, P",11.0,MG
"Sodium, Na",7.0,MG
"Vitamin C, total ascorbic acid",1680.0,MG
Thiamin,0.02,MG
Riboflavin,0.06,MG
Cholesterol,0.0,MG
Vitamin B-12,0.0,UG
"Selenium, Se",0.6,UG
Vitamin K (Dihydrophylloquinone),0.0,UG
Vitamin K (phylloquinone),0.0,UG
"Folate, food",18.0,UG
Tryptophan,0.04,G
Threonine,0.36,G
Methionine,0.16,G
Phenylalanine,0.33,G
Tyrosine,0.25,G
Alanine,0.45,G
Glutamic acid,1.51,G
Glycine,0.42,G
Proline,0.46,G
"Vitamin B-12, added",0.0,UG
Cholesterol,20.0,MG
"Fatty acids, total saturated",1.28,G
SFA 8:0,0.0,G
SFA 12:0,0.0,G
SFA 14:0,0.09,G
PUFA 22:6 n-3 (DHA),0.0,G
SFA 22:0,0.0,G
MUFA 14:1,0.02,G
MUFA 16:1,0.11,G
PUFA 20:5 n-3 (EPA),0.0,G
PUFA 22:5 n-3 (DPA),0.0,G
SFA 17:0,0.04,G
SFA 24:0,0.0,G
MUFA 24:1 c,0.0,G
MUFA 17:1,0.03,G
MUFA 15:1,0.0,G
PUFA 22:4,0.0,G
Protein,6.81,G
Ash,0.72,G
Starch,6.57,G
Fructose,0.0,G
Lactose,0.0,G
Energy,399.0,kJ
Galactose,0.0,G
"Fiber, total dietary",0.7,G
"Iron, Fe",1.0,MG
"Magnesium, Mg",12.0,MG
"Phosphorus, P",62.0,MG
"Sodium, Na",130.0,MG
"Copper, Cu",0.03,MG
"Manganese, Mn",0.14,MG
"Vitamin A, IU",0.0,IU
Retinol,0.0,UG
"Vitamin A, RAE",0.0,UG
"Tocopherol, delta",0.05,MG
"Tocotrienol, gamma",0.0,MG
"Tocotrienol, delta",0.0,MG
"Vitamin C, total ascorbic acid",0.0,MG
Thiamin,0.175,MG
Riboflavin,0.125,MG
"Folate, total",33.0,UG
Vitamin B-12,0.68,UG
Total lipid (fat),3.47,G
"Carbohydrate, by difference",9.22,G
Energy,95.0,KCAL
Sucrose,0.16,G
Glucose,0.0,G
Maltose,0.19,G
Water,79.8,G
"Sugars, total including NLEA",0.34,G
"Calcium, Ca",14.0,MG
"Potassium, K",110.0,MG
"Zinc, Zn",1.6,MG
"Selenium, Se",8.3,UG
Vitamin E (alpha-tocopherol),0.3,MG
"Tocopherol, beta",0.12,MG
"Tocopherol, gamma",0.23,MG
"Tocotrienol, alpha",0.02,MG
"Tocotrienol, beta",0.0,MG
Niacin,2.14,MG
Pantothenic acid,0.212,MG
Vitamin B-6,0.055,MG
Vitamin K (Menaquinone-4),0.9,UG
Folic acid,15.0,UG
Isoleucine,0.35,G
Leucine,0.62,G
Lysine,0.58,G
Cystine,0.09,G
Valine,0.39,G
Arginine,0.47,G
Histidine,0.23,G
Aspartic acid,0.83,G
Serine,0.33,G
"Vitamin E, added",0.0,MG
SFA 10:0,0.0,G
SFA 16:0,0.75,G
SFA 18:0,0.39,G
SFA 20:0,0.0,G
MUFA 18:1,1.51,G
PUFA 18:2,0.26,G
PUFA 18:3,0.01,G
PUFA 20:4,0.0,G
PUFA 18:4,0.02,G
MUFA 20:1,0.01,G
MUFA 22:1,0.0,G
"Fatty acids, total monounsaturated",1.68,G
"Fatty acids, total polyunsaturated",0.297,G
SFA 15:0,0.01,G
"PUFA 20:2 n-6 c,c",0.007,G
PUFA 20:3,0.0,G
PUFA 21:5,0.0,G
"Folate, DFE",44.0,UG
Protein,16.9,G
Total lipid (fat),7.66,G
"Carbohydrate, by difference",8.14,G
Energy,172.0,KCAL
"Alcohol, ethyl",0.0,G
Water,65.3,G
Caffeine,0.0,MG
Theobromine,0.0,MG
"Sugars, total including NLEA",0.03,G
"Fiber, total dietary",0.4,G
"Calcium, Ca",15.0,MG
"Iron, Fe",0.99,MG
"Magnesium, Mg",18.0,MG
"Phosphorus, P",149.0,MG
"Potassium, K",200.0,MG
"Sodium, Na",510.0,MG
"Zinc, Zn",2.39,MG
"Copper, Cu",0.085,MG
"Selenium, Se",23.1,UG
Retinol,4.0,UG
"Vitamin A, RAE",4.0,UG
"Carotene, beta",0.0,UG
"Carotene, alpha",0.0,UG
Vitamin E (alpha-tocopherol),0.2,MG
Vitamin D (D2 + D3),0.3,UG
"Cryptoxanthin, beta",0.0,UG
Lycopene,0.0,UG
Lutein + zeaxanthin,0.0,UG
"Vitamin C, total ascorbic acid",0.0,MG
Thiamin,0.192,MG
Riboflavin,0.204,MG
Niacin,3.06,MG
Vitamin B-6,0.216,MG
"Folate, total",3.0,UG
Vitamin B-12,0.43,UG
"Choline, total",57.1,MG
Vitamin K (phylloquinone),0.0,UG
Folic acid,0.0,UG
"Folate, food",3.0,UG
"Folate, DFE",3.0,UG
"Vitamin E, added",0.0,MG
"Vitamin B-12, added",0.0,UG
Cholesterol,72.0,MG
"Fatty acids, total saturated",2.48,G
SFA 4:0,0.0,G
SFA 6:0,0.0,G
SFA 8:0,0.0,G
SFA 10:0,0.004,G
SFA 12:0,0.004,G
SFA 14:0,0.071,G
SFA 16:0,1.68,G
SFA 18:0,0.697,G
MUFA 18:1,3.07,G
PUFA 18:2,0.867,G
PUFA 18:3,0.046,G
PUFA 20:4,0.04,G
PUFA 22:6 n-3 (DHA),0.0,G
MUFA 16:1,0.353,G
PUFA 18:4,0.0,G
MUFA 20:1,0.04,G
PUFA 20:5 n-3 (EPA),0.0,G
MUFA 22:1,0.0,G
PUFA 22:5 n-3 (DPA),0.0,G
"Fatty acids, total monounsaturated",3.47,G
"Fatty acids, total polyunsaturated",0.973,G
Protein,17.7,G
Total lipid (fat),7.94,G
"Carbohydrate, by difference",8.86,G
Energy,181.0,KCAL
"Alcohol, ethyl",0.0,G
Water,63.3,G
Caffeine,0.0,MG
Theobromine,0.0,MG
"Sugars, total including NLEA",0.03,G
"Fiber, total dietary",0.2,G
"Calcium, Ca",18.0,MG
"Iron, Fe",1.34,MG
"Magnesium, Mg",21.0,MG
"Phosphorus, P",161.0,MG
"Potassium, K",216.0,MG
"Sodium, Na",522.0,MG
"Zinc, Zn",2.54,MG
"Copper, Cu",0.096,MG
"Selenium, Se",24.6,UG
Retinol,4.0,UG
"Vitamin A, RAE",4.0,UG
"Carotene, beta",0.0,UG
"Carotene, alpha",0.0,UG
Vitamin E (alpha-tocopherol),0.21,MG
Vitamin D (D2 + D3),0.4,UG
"Cryptoxanthin, beta",0.0,UG
Lycopene,0.0,UG
Lutein + zeaxanthin,0.0,UG
"Vitamin C, total ascorbic acid",0.0,MG
Thiamin,0.242,MG
Riboflavin,0.213,MG
Niacin,3.59,MG
Vitamin B-6,0.25,MG
"Folate, total",21.0,UG
Vitamin B-12,0.44,UG
"Choline, total",59.2,MG
Vitamin K (phylloquinone),0.0,UG
Folic acid,17.0,UG
"Folate, food",4.0,UG
"Folate, DFE",33.0,UG
"Vitamin E, added",0.0,MG
"Vitamin B-12, added",0.0,UG
Cholesterol,75.0,MG
"Fatty acids, total saturated",2.58,G
SFA 4:0,0.0,G
SFA 6:0,0.0,G
SFA 8:0,0.0,G
SFA 10:0,0.005,G
SFA 12:0,0.004,G
SFA 14:0,0.074,G
SFA 16:0,1.75,G
SFA 18:0,0.722,G
MUFA 18:1,3.2,G
PUFA 18:2,0.909,G
PUFA 18:3,0.05,G
PUFA 20:4,0.041,G
PUFA 22:6 n-3 (DHA),0.0,G
MUFA 16:1,0.366,G
PUFA 18:4,0.0,G
MUFA 20:1,0.041,G
PUFA 20:5 n-3 (EPA),0.0,G
MUFA 22:1,0.0,G
PUFA 22:5 n-3 (DPA),0.0,G
"Fatty acids, total monounsaturated",3.61,G
"Fatty acids, total polyunsaturated",1.02,G
Protein,0.09,G
Total lipid (fat),0.45,G
"Carbohydrate, by difference",76.4,G
Energy,310.0,KCAL
"Alcohol, ethyl",0.0,G
Water,22.9,G
Caffeine,0.0,MG
Theobromine,0.0,MG
"Sugars, total including NLEA",68.0,G
"Fiber, total dietary",0.2,G
"Calcium, Ca",1.0,MG
"Iron, Fe",0.09,MG
"Magnesium, Mg",1.0,MG
"Phosphorus, P",1.0,MG
"Potassium, K",4.0,MG
"Sodium, Na",4.0,MG
"Zinc, Zn",0.01,MG
"Copper, Cu",0.009,MG
"Selenium, Se",1.7,UG
Retinol,0.0,UG
"Vitamin A, RAE",8.0,UG
"Carotene, beta",94.0,UG
"Carotene, alpha",0.0,UG
Vitamin E (alpha-tocopherol),0.98,MG
Vitamin D (D2 + D3),0.0,UG
"Cryptoxanthin, beta",0.0,UG
Lycopene,0.0,UG
Lutein + zeaxanthin,0.0,UG
"Vitamin C, total ascorbic acid",17.0,MG
Thiamin,0.122,MG
Riboflavin,0.165,MG
Niacin,0.689,MG
Vitamin B-6,0.234,MG
"Folate, total",30.0,UG
Vitamin B-12,0.0,UG
"Choline, total",13.3,MG
Vitamin K (phylloquinone),22.5,UG
Folic acid,0.0,UG
"Folate, food",30.0,UG
"Folate, DFE",30.0,UG
"Vitamin E, added",0.0,MG
"Vitamin B-12, added",0.0,UG
Cholesterol,0.0,MG
"Fatty acids, total saturated",0.0,G
SFA 4:0,0.0,G
SFA 6:0,0.0,G
SFA 8:0,0.0,G
SFA 10:0,0.0,G
SFA 12:0,0.0,G
SFA 14:0,0.0,G
SFA 16:0,0.0,G
SFA 18:0,0.0,G
MUFA 18:1,0.0,G
PUFA 18:2,0.0,G
PUFA 18:3,0.0,G
PUFA 20:4,0.0,G
PUFA 22:6 n-3 (DHA),0.0,G
MUFA 16:1,0.0,G
PUFA 18:4,0.0,G
MUFA 20:1,0.0,G
PUFA 20:5 n-3 (EPA),0.0,G
MUFA 22:1,0.0,G
PUFA 22:5 n-3 (DPA),0.0,G
"Fatty acids, total monounsaturated",0.0,G
"Fatty acids, total polyunsaturated",0.0,G
"Vitamin D (D2 + D3), International Units",0.0,IU
Vitamin D (D2 + D3),0.0,UG
Total lipid (fat),0.29,G
"Carbohydrate, by difference",32.0,G
Energy,135.0,KCAL
Sucrose,1.72,G
Glucose,1.58,G
Maltose,0.0,G
Water,65.4,G
Caffeine,0.0,MG
Theobromine,0.0,MG
"Sugars, total including NLEA",20.9,G
"Calcium, Ca",460.0,MG
"Potassium, K",59.0,MG
"Zinc, Zn",0.25,MG
"Selenium, Se",0.2,UG
Vitamin E (alpha-tocopherol),0.36,MG
"Tocopherol, beta",0.0,MG
"Tocopherol, gamma",0.0,MG
"Tocotrienol, alpha",0.0,MG
"Tocotrienol, beta",0.0,MG
Niacin,0.162,MG
Pantothenic acid,0.041,MG
Vitamin B-6,0.087,MG
"Choline, total",8.8,MG
Folic acid,0.0,UG
"Folate, DFE",3.0,UG
Betaine,0.4,MG
"Vitamin E, added",0.0,MG
Energy,563.0,kJ
Galactose,0.0,G
"Fiber, total dietary",10.6,G
"Iron, Fe",3.55,MG
"Magnesium, Mg",39.0,MG
"Cryptoxanthin, beta",0.0,UG
Lycopene,0.0,UG
"Tocopherol, delta",0.0,MG
"Tocotrienol, gamma",0.0,MG
"Tocotrienol, delta",0.0,MG
"Vitamin C, total ascorbic acid",0.3,MG
Thiamin,0.012,MG
Riboflavin,0.099,MG
"Folate, total",3.0,UG
Vitamin B-12,0.0,UG
Vitamin K (Dihydrophylloquinone),0.0,UG
Vitamin K (phylloquinone),4.9,UG
"Folate, food",3.0,UG
"Vitamin B-12, added",0.0,UG
Cholesterol,0.0,MG
"Phosphorus, P",9.0,MG
"Sodium, Na",13.0,MG
"Copper, Cu",0.112,MG
"Manganese, Mn",0.142,MG
"Vitamin A, IU",113.0,IU
Retinol,0.0,UG
"Vitamin A, RAE",6.0,UG
"Carotene, beta",68.0,UG
"Carotene, alpha",0.0,UG
Protein,0.99,G
Ash,1.32,G
Starch,0.24,G
Fructose,17.6,G
Lactose,0.0,G
"Alcohol, ethyl",0.0,G
"Vitamin D (D2 + D3), International Units",0.0,IU
Vitamin D (D2 + D3),0.0,UG
Protein,1.71,G
Ash,3.98,G
Starch,0.91,G
Fructose,42.8,G
Lactose,0.0,G
"Alcohol, ethyl",0.0,G
Energy,1430.0,kJ
Galactose,0.0,G
"Fiber, total dietary",15.6,G
"Iron, Fe",3.64,MG
"Magnesium, Mg",207.0,MG
"Phosphorus, P",37.0,MG
"Sodium, Na",14.0,MG
"Copper, Cu",0.189,MG
"Manganese, Mn",0.337,MG
"Vitamin A, IU",18.0,IU
Retinol,0.0,UG
"Vitamin A, RAE",1.0,UG
"Carotene, beta",11.0,UG
"Carotene, alpha",0.0,UG
"Cryptoxanthin, beta",0.0,UG
Lycopene,0.0,UG
"Tocopherol, delta",0.0,MG
"Tocotrienol, gamma",0.0,MG
"Tocotrienol, delta",0.0,MG
"Vitamin C, total ascorbic acid",0.3,MG
Thiamin,0.021,MG
Riboflavin,0.644,MG
"Folate, total",7.0,UG
Vitamin B-12,0.0,UG
Vitamin K (Dihydrophylloquinone),0.0,UG
Vitamin K (phylloquinone),0.5,UG
"Folate, food",7.0,UG
"Vitamin B-12, added",0.0,UG
Cholesterol,0.0,MG
Total lipid (fat),0.69,G
"Carbohydrate, by difference",82.0,G
Energy,341.0,KCAL
Sucrose,4.39,G
Glucose,3.48,G
Maltose,0.0,G
Water,11.6,G
Caffeine,0.0,MG
Theobromine,0.0,MG
"Sugars, total including NLEA",50.7,G
"Calcium, Ca",770.0,MG
"Potassium, K",767.0,MG
"Zinc, Zn",12.1,MG
"Selenium, Se",0.6,UG
Vitamin E (alpha-tocopherol),0.76,MG
"Tocopherol, beta",0.0,MG
"Tocopherol, gamma",0.03,MG
"Tocotrienol, alpha",0.0,MG
"Tocotrienol, beta",0.0,MG
Niacin,0.87,MG
Pantothenic acid,0.15,MG
Vitamin B-6,0.216,MG
Folic acid,0.0,UG
"Folate, DFE",7.0,UG
"Vitamin E, added",0.0,MG
"Vitamin D (D2 + D3), International Units",0.0,IU
Vitamin D (D2 + D3),0.0,UG
Protein,0.52,G
Ash,1.27,G
Starch,0.24,G
Fructose,0.98,G
Lactose,0.0,G
"Alcohol, ethyl",0.0,G
Energy,286.0,kJ
Galactose,0.0,G
"Fiber, total dietary",6.6,G
"Iron, Fe",1.8,MG
"Magnesium, Mg",55.0,MG
"Phosphorus, P",7.0,MG
"Sodium, Na",14.0,MG
"Copper, Cu",0.138,MG
"Manganese, Mn",0.094,MG
"Vitamin A, IU",37.0,IU
Retinol,0.0,UG
"Vitamin A, RAE",2.0,UG
"Carotene, beta",22.0,UG
"Carotene, alpha",0.0,UG
"Cryptoxanthin, beta",0.0,UG
Lycopene,0.0,UG
"Tocopherol, delta",0.0,MG
"Tocotrienol, gamma",0.0,MG
"Tocotrienol, delta",0.0,MG
"Vitamin C, total ascorbic acid",4.0,MG
Thiamin,0.029,MG
Riboflavin,0.039,MG
"Folate, total",7.0,UG
Vitamin B-12,0.0,UG
Vitamin K (Dihydrophylloquinone),0.0,UG
Vitamin K (phylloquinone),5.3,UG
"Folate, food",7.0,UG
Tryptophan,0.008,G
Threonine,0.014,G
Methionine,0.009,G
Phenylalanine,0.019,G
Tyrosine,0.009,G
Alanine,0.024,G
Glutamic acid,0.052,G
Glycine,0.019,G
Proline,0.013,G
"Vitamin B-12, added",0.0,UG
Cholesterol,0.0,MG
"Tocopherol, beta",0.0,MG
"Tocopherol, gamma",0.0,MG
"Tocotrienol, alpha",0.0,MG
"Tocotrienol, beta",0.0,MG
Niacin,0.162,MG
Pantothenic acid,0.041,MG
Vitamin B-6,0.055,MG
Folic acid,0.0,UG
"Folate, DFE",7.0,UG
Isoleucine,0.014,G
Leucine,0.025,G
Lysine,0.028,G
Cystine,0.008,G
Valine,0.022,G
Arginine,0.106,G
Histidine,0.008,G
Aspartic acid,0.041,G
Serine,0.021,G
"Vitamin E, added",0.0,MG
Total lipid (fat),0.15,G
"Carbohydrate, by difference",16.2,G
Energy,68.0,KCAL
Sucrose,0.41,G
Glucose,1.19,G
Maltose,0.0,G
Water,81.8,G
Caffeine,0.0,MG
Theobromine,0.0,MG
"Sugars, total including NLEA",2.58,G
"Calcium, Ca",417.0,MG
"Potassium, K",127.0,MG
"Zinc, Zn",0.15,MG
"Selenium, Se",0.4,UG
Vitamin E (alpha-tocopherol),0.23,MG
PUFA 18:2,16.1,G
PUFA 18:3,0.5,G
"Fatty acids, total monounsaturated",15.6,G
"Fatty acids, total polyunsaturated",17.3,G
Total lipid (fat),43.5,G
"Carbohydrate, by difference",10.5,G
Energy,470.0,KCAL
Water,34.0,G
"Potassium, K",206.0,MG
"Zinc, Zn",0.47,MG
Vitamin E (alpha-tocopherol),4.0,MG
Niacin,1.43,MG
Protein,9.0,G
Ash,3.0,G
Energy,1960.0,kJ
"Iron, Fe",0.2,MG
"Magnesium, Mg",16.0,MG
"Phosphorus, P",134.0,MG
"Sodium, Na",24.0,MG
"Copper, Cu",0.03,MG
"Vitamin A, IU",257.0,IU
Thiamin,0.06,MG
Riboflavin,0.06,MG
Cholesterol,26.0,MG
"Fatty acids, total saturated",8.6,G
"Vitamin A, RAE",34.0,UG
PUFA 18:2,7.1,G
PUFA 18:3,0.53,G
Protein,3.4,G
Ash,4.1,G
Energy,1480.0,kJ
"Fiber, total dietary",0.5,G
"Iron, Fe",0.3,MG
"Magnesium, Mg",7.0,MG
"Phosphorus, P",46.0,MG
"Sodium, Na",21.0,MG
"Copper, Cu",0.03,MG
"Manganese, Mn",0.13,MG
"Vitamin A, IU",696.0,IU
"Vitamin C, total ascorbic acid",2.9,MG
Thiamin,0.04,MG
Riboflavin,0.05,MG
"Folate, total",3.0,UG
"Folate, food",3.0,UG
Cholesterol,10.0,MG
